7.1.1.1	Chapter 1: Studying Life
7.1.2.1	Scientists are studying how corals are affected by global climate change.
7.1.3.1	Key Concepts:
7.1.4.1	Living Organisms Share Similarities and a Common Origin
7.1.5.1	Biologists Investigate Life through Experiments That Test Hypotheses
7.1.6.1	Understanding Biology Is Important for Health, Well-Being, and Public-Policy Decisions
7.1.7.1	investigatinglife
7.1.8.1	Corals in Hot Water
7.1.9.1	Coral reefs support the largest diversity of life in the oceans.
7.1.9.2	They provide fisheries and storm protection for about a billion people, and are a magnificent source of natural beauty.
7.1.9.3	But coral reefs are endangered.
7.1.9.4	Over the past 20 years about half of the world   s reef-building corals have been destroyed by rising water temperature and other factors.
7.1.9.5	High temperatures disrupt a fascinating aspect of coral biology.
7.1.9.6	Corals are animals, yet most corals have algae (dinoflagellates) growing within their cells.
7.1.9.7	Dinoflagellates use the energy of sunlight to produce carbohydrates.
7.1.9.8	Corals provide a home for the dinoflagellates, which in turn provide nutrients for the corals.
7.1.9.9	When high temperature impairs the dinoflagellates, the corals eject them   a process called bleaching.
7.1.9.10	Then, without nutrients from the dinoflagellates, the corals die, unless they can take in new dinoflagellates that are more resistant to the higher temperatures.
7.1.10.1	Understanding the effects of heat on corals was the motivation of graduate student Rachael Bay and her colleagues working with Professor Steve Palumbi at Stanford University   s Hopkins Marine Station.
7.1.10.2	While studying corals in small back-reef pools in American Samoa, they observed that during low tides some pools reached higher temperatures than others.
7.1.10.3	The researchers predicted that corals in the warmer pools had mechanisms enabling them to resist bleaching.
7.1.10.4	To test their prediction, the researchers brought corals into the laboratory, subjected them to temperature fluctuations, and showed that the corals from the warm pools were more resistant to bleaching.
7.1.10.5	They also transplanted corals between the different temperature environments in nature.
7.1.10.6	As a result of these experiments, Rachael and her colleagues proposed that two different processes contribute to the different abilities of the corals to survive heat stress.
7.1.10.7	First, corals growing in the warmer pools could have genetic traits contributing to heat resistance, and second, individual corals may have the same genetic make-up but differ in their ability to adjust to their environment by changing the expression levels of certain genes.
7.1.10.8	More knowledge of the mechanisms of heat stress and heat resistance in corals could lead to new strategies to decrease their losses as their environments change.
7.1.11.1	How might experiments on heat stress in corals be used to predict the response of corals to global warming?
7.1.12.1	Chapter 1 continues with
7.1.13.1	1.1 Living Organisms Share Similarities and a Common Origin
7.1.1.1.1	Life arose from non-life via chemical evolution
7.1.1.2.1	Cellular structure evolved in the common ancestor of life
7.1.1.3.1	Photosynthesis allows some organisms to capture energy from the sun
7.1.1.4.1	Biological information is stored in a genetic code common to all organisms
7.1.1.5.1	Populations of all living organisms evolve
7.1.1.6.1	Biologists trace the evolutionary tree of life
7.1.1.7.1	Cellular differentiation and specialization underlie multicellular life
7.1.1.8.1	Organisms extract energy and raw materials from the environment
7.1.1.9.1	Living organisms must regulate their internal environment
7.1.1.10.1	Living organisms interact Intuitively we all know what life is, but try to define it; it isn   t easy.
7.1.1.10.2	You can easily designate the things around you as living or nonliving, but what are the essential differences?
7.1.1.10.3	We call the living things organisms.
7.1.1.10.4	In contrast to nonliving things, organisms sustain and renew themselves.
7.1.1.10.5	The loss of the ability to sustain and renew means the loss of life, and organisms that die become part of the nonliving world.
7.1.1.10.6	Biology is the scientific study of organisms, both living and after death (e. g. , the study of fossils) with the goal of discovering and understanding the diversity and the complex processes that make up life.
7.1.1.11.1	focus your learning
7.1.1.12.1	Major characteristics are shared among all living things.
7.1.1.13.1	Living organisms have influenced the history of the planet Earth.
7.1.1.14.1	Biological populations change over time.
7.1.1.15.1	Figure 1.1 The Many Faces of Life
7.1.1.16.1	The processes of evolution have led to the millions of diverse organisms living on Earth today.
7.1.1.16.2	Prokaryotic archaea (A) and bacteria (B) are all single-celled organisms, as described in Chapter 25.
7.1.1.16.3	(C) Many protists are unicellular but, as discussed in Chapter 26, their cell structures are more complex than those of the prokaryotes.
7.1.1.16.4	This protist has manufactured    plates  ? of calcium carbonate that surround and protect its single cell.
7.1.1.16.5	(D   G) Most of the visible life on Earth is multicellular.
7.1.1.16.6	Chapters 27 and 28 cover the green plants (D).
7.1.1.16.7	The other broad groups of multicellular organisms are the fungi (E), discussed in Chapter 29, and the animals (F), covered in Chapters 30   32.
7.1.1.16.8	Life on our planet is quite diverse (Figure 1.1), yet its many diverse forms share common features.
7.1.1.16.9	What characteristics do organisms share that distinguish them from the nonliving world?
7.1.1.16.10	Most organisms:
7.1.1.17.1	are composed of a common set of chemical compounds: mainly carbohydrates, fatty acids, nucleic acids, and amino acids.
7.1.1.18.1	are made up of cells.
7.1.1.19.1	use molecules obtained from the environment to synthesize new biological molecules.
7.1.1.20.1	extract energy from the environment and use it to do work.
7.1.1.21.1	contain genetic information   genomes   that enables them to develop, maintain themselves, function, and reproduce.
7.1.1.22.1	use a universal molecular code to build proteins from their genomic information.
7.1.1.23.1	regulate their internal environments.
7.1.1.24.1	exist in populations that evolve over time.
7.1.1.24.2	How do you think all organisms came to have these similarities?
7.1.1.24.3	If life had multiple origins, we would not expect to see such striking similarities in chemical composition, cell structure, cell functions, and genetic codes across the living world.
7.1.1.24.4	Instead, these common characteristics logically lead to the conclusion that all life has a common ancestry, and that the diverse organisms alive today all originated from one life form.
7.1.1.24.5	Organisms from a separate origin of life   say, on another planet   might be similar in superficial ways to life on Earth, but they would not have the same genetic code, chemical composition, or cellular structures and functions that we see widely shared among living organisms on Earth.
7.1.1.24.6	All evidence points to a common origin of life on our planet about 4 billion years ago.
7.1.1.24.7	Some forms of life may not display all characteristics listed above all of the time.
7.1.1.24.8	For example, the seed of a desert plant may go for many years without extracting energy from the environment, converting molecules, regulating its internal environment, or reproducing; yet the seed is alive.
7.1.1.24.9	Viruses present a special case as well.
7.1.1.24.10	Viruses are not composed of cells and cannot carry out physiological functions on their own.
7.1.1.24.11	Viruses depend on the cells of host organisms to carry out these functions for them.
7.1.1.24.12	Yet viruses contain genetic information, and their populations evolve over time, as we know from witnessing changes in the flu viruses each flu season.
7.1.1.24.13	Even though viruses are not independent cellular organisms, their existence depends on cells, and it is highly probable that viruses evolved from cellular life forms.
7.1.1.24.14	Thus most biologists consider viruses to be a part of life.
7.1.1.24.15	As you go through this book, you will explore details of the common characteristics of life, how these characteristics arose, and how they work together so that organisms survive and reproduce.
7.1.1.24.16	Because organisms do not all survive and reproduce with equal success, you will see again and again that through differential survival and reproduction populations of organisms evolve and become adapted to Earth   s many environments.
7.1.1.24.17	The processes of evolution have generated the enormous diversity of life on Earth, and evolution is a central theme of biology.
7.1.0.0.1.1	Earth formed between 4.6 and 4.5 billion years ago, but it was not a place hospitable to life.
7.1.0.0.1.2	The cooling of Earth, the formation of surface water, and the evolution of the first life forms took about 600 million years.
7.1.0.0.1.3	If we picture the 4.6-billion-year history of Earth as a 30-day month, life first appeared some time around the end of the first week (Figure 1.2).
7.1.0.0.1.4	Figure 1.2 Life   s Timeline The young Earth   s atmosphere, oceans, and climate were very different than they are today, but experiments simulating those conditions have confirmed that the generation of complex molecules through random physical association of chemicals is possible, even inevitable.
7.1.0.0.1.5	The critical step for the evolution of life was the appearance of nucleic acids   molecules that could reproduce themselves and serve as templates for the synthesis of proteins, large molecules with complex but stable shapes.
7.1.0.0.1.6	The variation in the shapes of these proteins enabled them to participate in increasing numbers and kinds of chemical reactions with other molecules.
7.1.0.0.1.7	These subjects are covered in Part One of this book.
7.1.0.0.1.1	An important step in the evolution of life was the enclosure of complex proteins and other biological molecules by membranes that contained them in a compact internal environment separate from the surrounding (external) environment.
7.1.0.0.1.2	Fatty acid molecules played a critical role in membrane evolution because these molecules do not dissolve in water.
7.1.0.0.1.3	Think of shaking an oil and vinegar salad dressing.
7.1.0.0.1.4	The oil breaks up into small droplets, but the droplets do not dissolve in the vinegar and they rapidly coalesce.
7.1.0.0.1.5	Similarly, fatty acids can form membranous films on the surface of water.
7.1.0.0.1.6	When these films are agitated, they can form spherical structures called liposomes.
7.1.0.0.1.7	Such structures are now used for delivering drugs to cells (Figure 1.3A).
7.1.0.0.1.8	In a primordial ocean, such membranous structures could have enveloped assemblages of complex biological molecules.
