7.1.0	This NASA image is a composite of several satellite-based views of Earth.
7.1.1	To make the whole-Earth image, NASA scientists combine observations of different parts of the planet.
7.1.2	Viewed from space, Earth offers no clues about the diversity of life forms that reside there.
7.1.3	The first forms of life on Earth are thought to have been microorganisms that existed for billions of years in the ocean before plants and animals appeared.
7.1.4	The mammals, birds, and flowers so familiar to us are all relatively recent, originating 130 to 200 million years ago.
7.1.5	Humans have inhabited this planet for only the last 2.5 million years, and only in the last 200,000 years have humans started looking like we do today.
7.1.6	Figure 1.2
7.1.7	Formerly called blue-green algae, these (a) cyanobacteria, shown here at 300x magnification under a light microscope, are some of Earth’s oldest life forms.
7.1.8	These (b) stromatolites along the shores of Lake Thetis in Western Australia are ancient structures formed by the layering of cyanobacteria in shallow waters.
7.1.9	(credit a: modification of work by NASA; credit b: modification of work by Ruth Ellison; scale-bar data from Matt Russell)
7.1.10	What is biology?
7.1.11	In simple terms, biology is the study of living organisms and their interactions with one another and their environments.
7.1.12	This is a very broad definition because the scope of biology is vast.
7.1.13	Biologists may study anything from the microscopic or submicroscopic view of a cell to ecosystems and the whole living planet (Figure 1.2).
7.1.14	Listening to the daily news, you will quickly realize how many aspects of biology are discussed every day.
7.1.15	For example, recent news topics include Escherichia coli
7.1.16	(Figure 1.3) outbreaks in spinach and Salmonella contamination in peanut butter.
7.1.17	Other subjects include efforts toward finding a cure for AIDS, Alzheimer’s disease, and cancer.
7.1.18	On a global scale, many researchers are committed to finding ways to protect the planet, solve environmental issues, and reduce the effects of climate change.
7.1.19	All of these diverse endeavors are related to different facets of the discipline of biology.
7.1.20	Figure 1.3 Escherichia coli (E. coli) bacteria, seen in this scanning electron micrograph, are normal residents of our digestive tracts that aid in the absorption of vitamin K and other nutrients.
7.1.21	However, virulent strains are sometimes responsible for disease outbreaks.
7.1.22	(credit:
7.1.23	Eric Erbe, digital colorization by Christopher Pooley, both of USDA, ARS, EMU)
7.1.24	The Process of Science Biology is a science, but what exactly is science?
7.1.25	What does the study of biology share with other scientific disciplines?
7.1.26	Science (from the Latin scientia, meaning “knowledge”) can be defined as knowledge that covers general truths or the operation of general laws, especially when acquired and tested by the scientific method.
7.1.27	It becomes clear from this definition that the application of the scientific method plays a major role in science.
7.1.28	The scientific method is a method of research with defined steps that include experiments and careful observation.
7.1.29	The steps of the scientific method will be examined in detail later, but one of the most important aspects of this method is the testing of hypotheses by means of repeatable experiments.
7.1.30	A hypothesis is a suggested explanation for an event, which can be tested.
7.1.31	Although using the scientific method is inherent to science, it is inadequate in determining what science is.
7.1.32	This is because it is relatively easy to apply the scientific method to disciplines such as physics and chemistry, but when it comes to disciplines like archaeology, psychology, and geology, the scientific method becomes less applicable as it becomes more difficult to repeat experiments.
7.1.33	These areas of study are still sciences, however.
7.1.34	Consider archeology—even though one cannot perform repeatable experiments, hypotheses may still be supported.
7.1.35	For instance, an archeologist can hypothesize that an ancient culture existed based on finding a piece of pottery.
7.1.36	Further hypotheses could be made about various characteristics of this culture, and these hypotheses may be found to be correct or false through continued support or contradictions from other findings.
7.1.37	A hypothesis may become a verified theory.
7.1.38	A theory is a tested and confirmed explanation for observations or phenomena.
7.1.39	Science may be better defined as fields of study that attempt to comprehend the nature of the universe.
7.1.40	What would you expect to see in a museum of natural sciences?
7.1.41	Frogs?
7.1.42	Plants?
7.1.43	Dinosaur skeletons?
7.1.44	Exhibits about how the brain functions?
7.1.45	A planetarium?
7.1.46	Gems and minerals?
7.1.47	Or, maybe all of the above?
7.1.48	Science includes such diverse fields as astronomy, biology, computer sciences, geology, logic, physics, chemistry, and mathematics (Figure 1.4).
7.1.49	However, those fields of science related to the physical world and its phenomena and processes are considered natural sciences.
